participant,fluency_score,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,Primary_schoolType,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety
SW-0131,51,21.069072806471684,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Chinese vernacular school,Chinese vernacular school,Yes,Yes,Yes,Yes,7,No,No,Yes,Yes
SW-0132,37,22.030714285714286,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Mandarin Chinese/ Cantonese,English,Public school (SK),Public school (SK),No,Yes,No,Yes,6,No,Yes,Yes,Yes
SW-0239,20,20.55980087118855,Female,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Malay,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes
SW-0343,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW-0344,29,21.781692655636235,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,English,No,English,English,Public school (SK),Public school (SK),Yes,Yes,No,Yes,5,Yes,Yes,Yes,No
SW-0345,47,20.379091474797757,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,English,Yes,English & Chinese,Chinese,Public school (SK),Public school (SK),No,Yes,No,No,8,No,No,Yes,No
SW-0346,43,20.97050404480398,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,Yes,No,Yes,7,No,Yes,Yes,No
SW-0347,25,20.647417548226507,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,English,Public school (SK),Public school (SK),No,Yes,No,No,8,No,No,Yes,Yes
SW-0348,30,20.795270690728064,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Mandarin/Cantonese/chinese dialects,Yes,Mandarin Chinese/ Cantonese,Chinese,Public school (SK),Public school (SK),No,No,Yes,Yes,7,No,Yes,Yes,No
SW-0349,36,20.526944617299314,Female,Sri Lankan,Other,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,English,Yes,English,English,Private school (international),Private (International) School,Yes,Yes,No,No,8,No,Yes,Yes,No
