participant,fluency_score,school,Age,Sex,Nationality,Ethnicity,StudyLevel,Major,ParentalEdu,Handedness,PastMedDiagnosis,NativeLang,SecondLang,MathLang_Primary,MultLang,SecondLang_score1,SecondLang_type1,SecondLang_score2,SecondLang_type2,SecondLang_score3,SecondLang_type3,SecondLang_score4,SecondLang_type4,SecondLang_score5,SecondLang_type5,SecondLang_score6,SecondLang_type6,SecondLang_score7,SecondLang_type7,SchoolType_Primary,MathDiff,MultLearning_normal,MultLearning_time,MultLearning_peers,MultLearning_score,ReadingProblem,MathAnxiety,ExamAnxiety,MemoryAnxiety,num_Seclanguages,avg_score,SameLang_pri,SameLang_Mult
SW-0131,51,SUNWAY,21.069072806471684,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Chinese,Yes,Chinese,Chinese,90,Mandarin,90,English,50,Malay,40,Cantonese,20,Hokkien,NA,NA,NA,NA,Vernacular,Yes,Yes,Yes,Yes,7,No,No,Yes,Yes,3,76.66666666666667,Same,Same
SW-0132,37,SUNWAY,22.030714285714286,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Chinese,English,80,English,50,Chinese,50,Malay,50,Cantonese,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,6,No,Yes,Yes,Yes,4,57.5,Different,Same
SW-0239,20,SUNWAY,20.55980087118855,Female,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, mother only",Right,No,Malay,Yes,English,English,100,English,50,Mandarin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Private,Yes,Yes,No,Yes,7,No,Yes,Yes,Yes,1,50,Different,Different
SW-0344,29,SUNWAY,21.781692655636235,Female,Malaysian,Indian,Sophomore/Second Year,Psychology,No,Right,No,English,No,English,English,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Public,Yes,Yes,No,Yes,5,Yes,Yes,Yes,No,NA,NA,Same,Same
SW-0345,47,SUNWAY,20.379091474797757,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,English,Yes,Chinese,Chinese,80,Mandarin,70,Hokkien,60,Cantonese,70,Malay,NA,NA,0,NA,NA,NA,Public,No,Yes,No,No,8,No,No,Yes,No,4,70,Different,Different
SW-0346,43,SUNWAY,20.97050404480398,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,English,Yes,Chinese,Chinese,90,Cantonese,30,Malay,60,Chinese,NA,NA,NA,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,7,No,Yes,Yes,No,2,75,Different,Different
SW-0347,25,SUNWAY,20.647417548226507,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,"Yes, father only",Right,No,Chinese,Yes,Chinese,English,90,Cantonese,100,Chinese,90,English,70,Malay,0,NA,NA,NA,NA,NA,Public,No,Yes,No,No,8,No,No,Yes,Yes,3,83.33333333333333,Same,Different
SW-0348,30,SUNWAY,20.795270690728064,Female,Malaysian,Chinese,Sophomore/Second Year,Psychology,No,Right,No,Chinese,Yes,Chinese,Chinese,80,English,70,Malay,90,Cantonese,60,Hokkien,50,Korean,NA,NA,NA,NA,Public,No,No,Yes,Yes,7,No,Yes,Yes,No,5,70,Same,Same
SW-0350,19,SUNWAY,20.34897324206596,Female,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, both parents",Right,No,Malay,Yes,English,English,80,Malay,90,English,0,NA,NA,NA,0,NA,NA,NA,NA,NA,Public,No,Yes,No,Yes,6,No,Yes,Yes,Yes,2,85,Different,Different
SW-2025,44,SUNWAY,22.101904761904763,Male,Malaysian,Malay,Sophomore/Second Year,Psychology,"Yes, both parents",Left,No,English,Yes,English,English,80,Chinese,30,Malay,90,English,0,NA,NA,NA,NA,NA,NA,NA,Private,No,Yes,No,No,9,No,No,Yes,No,2,85,Same,Same
